epoch,train_loss,val_loss,teacher_forcing_ratio,lr
1,0.3821158955494563,-0.02055986225605011,1.0,0.0005
2,0.034037384721967906,-0.3006773591041565,1.0,0.0005
3,-0.10171204929550488,-0.43597355484962463,1.0,0.0005
4,-0.1478362348344591,-0.4707835018634796,1.0,0.0005
5,-0.18500794967015585,-0.4715413749217987,1.0,0.0005
6,-0.21170955896377563,-0.4838288426399231,1.0,0.0005
7,-0.2456409451034334,-0.5183612108230591,1.0,0.0005
8,-0.2831292417314317,-0.5457805395126343,1.0,0.0005
9,-0.3403715491294861,-0.5758472084999084,1.0,0.0005
10,-0.37916597061687046,-0.6029030084609985,1.0,0.0005
11,-0.438145163986418,-0.6431529521942139,1.0,0.0005
12,-0.48920044634077287,-0.6763542294502258,1.0,0.0005
13,-0.526976615190506,-0.7055061459541321,1.0,0.0005
14,-0.5580664144621955,-0.7241390943527222,1.0,0.0005
15,-0.5913264950116476,-0.7419390082359314,1.0,0.0005
16,-0.6245223085085551,-0.7699350714683533,1.0,0.0005
17,-0.645656943321228,-0.7860509157180786,1.0,0.0005
18,-0.667901251051161,-0.8044281601905823,1.0,0.0005
19,-0.6854577461878458,-0.8237400650978088,1.0,0.0005
20,-0.6967174808184305,-0.8355101943016052,1.0,0.0005
21,-0.7218450374073453,-0.8551908135414124,1.0,0.0005
22,-0.7392058637407091,-0.871778666973114,1.0,0.0005
23,-0.7530762089623345,-0.8824345469474792,1.0,0.0005
24,-0.7747075822618272,-0.8980881571769714,1.0,0.0005
25,-0.793015354209476,-0.9126414060592651,1.0,0.0005
26,-0.8043742842144437,-0.9285801649093628,1.0,0.0005
27,-0.822759317027198,-0.9387805461883545,1.0,0.0005
28,-0.8384305636088053,-0.94672030210495,1.0,0.0005
29,-0.8543721702363756,-0.9667012095451355,1.0,0.0005
30,-0.8615476422839694,-0.97447669506073,1.0,0.0005
31,-0.8688377075725131,-0.9764117002487183,1.0,0.0005
32,-0.8791204161114163,-0.9866552948951721,1.0,0.0005
33,-0.88352503379186,-1.0058432817459106,1.0,0.0005
34,-0.8923991653654311,-1.0028573274612427,1.0,0.0005
35,-0.8936101264423795,-1.0146851539611816,1.0,0.0005
36,-0.9052180846532186,-1.0188745260238647,1.0,0.0005
37,-0.9155141446325514,-1.0252386331558228,1.0,0.0005
38,-0.9268023570378622,-1.0270614624023438,1.0,0.0005
39,-0.924370805422465,-1.0428658723831177,1.0,0.0005
40,-0.9367564188109504,-1.0321694612503052,1.0,0.0005
41,-0.9373839497566223,-1.0515605211257935,1.0,0.0005
42,-0.9459734227922227,-1.055570125579834,1.0,0.0005
43,-0.9523860812187195,-1.0565909147262573,1.0,0.0005
44,-0.9536614616711935,-1.0623502731323242,1.0,0.0005
45,-0.9573796391487122,-1.0676385164260864,1.0,0.0005
46,-0.9563071529070536,-1.070052981376648,1.0,0.0005
47,-0.9623853498035007,-1.0708502531051636,1.0,0.0005
48,-0.97283007701238,-1.0794198513031006,1.0,0.0005
49,-0.9795653621355692,-1.077723741531372,1.0,0.0005
50,-0.9700013200441996,-1.0791555643081665,1.0,0.0005
51,-0.9759346379174126,-1.087206244468689,1.0,0.0005
52,-0.9898777074284024,-1.0815300941467285,1.0,0.0005
53,-0.9876391755210029,-1.0839910507202148,1.0,0.0005
54,-0.9893962409761217,-1.091895580291748,1.0,0.0005
55,-0.994943274392022,-1.0988309383392334,1.0,0.0005
56,-1.0018502937422857,-1.0932607650756836,1.0,0.0005
57,-1.0012634462780423,-1.1046608686447144,1.0,0.0005
58,-1.0017074743906658,-1.1134313344955444,1.0,0.0005
59,-1.005982796351115,-1.110650658607483,1.0,0.0005
60,-1.0168074700567458,-1.1027960777282715,1.0,0.0005
