Open,High,Low,Close
432.97678,433.58847,431.94638,433.08185
433.85046,434.88086,432.8894,433.20712
433.0382,434.0686,431.42792,432.4583
435.17868,435.7215,431.24078,431.70367
430.0582,432.4319,429.0278,432.4319
430.42484,434.20862,429.39444,433.17822
436.05255,437.08295,432.8958,433.9262
435.11548,436.14587,432.1484,433.1788
428.19992,434.38574,427.74103,433.92685
440.455,440.858,434.2259,434.6289
431.44214,435.09015,430.41174,434.05975
433.41556,435.8408,432.4048,434.8104
434.76764,435.83694,433.73724,434.80655
435.0602,435.72003,434.56702,435.156
432.94122,435.30905,432.94122,434.80127
435.8292,435.9797,433.0254,434.05325
433.55988,435.59595,432.52948,434.80145
435.4745,436.54138,434.4441,435.511
435.78284,436.81323,434.58527,434.9134
431.7265,436.69205,430.6961,435.66165
438.34976,438.81604,434.24603,434.91785
430.89142,436.4076,429.86102,435.6692
436.82294,437.0635,434.8288,434.95505
432.3407,435.71066,431.3103,435.71066
438.82953,439.85992,436.29956,436.4403
434.6863,436.8298,434.67828,436.19363
435.77658,436.80698,434.5327,435.5631
437.85245,438.88284,433.78427,434.81467
430.98233,436.03522,429.96393,435.5632
440.95804,441.34558,435.03836,436.06876
432.39087,437.85165,431.6245,436.82126
441.899,442.79987,435.79144,436.6025
431.72867,437.35904,431.5822,437.2587
440.47537,441.50577,436.244,437.27438
440.2773,441.3077,436.7059,437.21033
437.5339,437.87558,435.51245,436.54285
435.09747,436.8235,434.43698,435.7931
431.71402,436.01263,431.71402,436.01263
435.43973,436.47012,434.23373,435.26413
433.87317,435.55344,433.3375,434.52304
437.85992,438.44272,433.9723,434.5284
435.48886,436.51926,432.74704,433.77744
435.95343,436.19272,432.77017,433.72745
429.5029,435.26306,429.36276,434.477
431.68607,435.7626,431.14502,435.23154
442.54056,443.30087,434.49234,434.49234
432.0202,433.74368,431.54053,433.74368
434.657,435.6874,432.1378,432.99258
431.5179,434.0849,431.17194,433.73105
433.59,434.6204,432.1203,433.1507
